participant,baseline,adapting,task,trial,temperature,accuracy
1,31.2,33.2,0,21,0.6,1
1,31.2,33.2,0,22,0.6,1
1,31.2,33.2,0,23,0.6,1
1,31.2,33.2,0,24,0.6,1
1,31.2,33.2,0,25,0.6,1
1,31.2,33.2,0,26,0.6,1
1,31.2,33.2,0,27,0.6,1
1,31.2,33.2,0,28,0.6,0
1,31.2,33.2,0,29,0.6,1
1,31.2,29.2,1,1,2.6,1
1,31.2,29.2,1,2,2,1
1,31.2,29.2,1,3,1.8,0
1,31.2,29.2,1,4,3,1
1,31.2,29.2,1,5,2.8,1
1,31.2,29.2,1,6,2.6,1
1,31.2,29.2,1,7,2.4,1
1,31.2,29.2,1,8,2.2,1
1,31.2,29.2,1,9,2.2,0
1,31.2,29.2,1,10,2.8,1
1,31.2,29.2,1,11,2.8,1
1,31.2,29.2,1,12,2.6,1
1,31.2,29.2,1,13,2.6,0
1,31.2,29.2,1,14,3.2,1
1,31.2,29.2,1,15,3,1
1,31.2,29.2,1,16,3,1
1,31.2,29.2,1,17,3,1
1,31.2,29.2,1,18,2.4,0
1,31.2,29.2,1,19,3,1
1,31.2,29.2,1,20,3,1
1,31.2,29.2,1,21,2.8,1
1,31.2,29.2,1,22,2.8,1
1,31.2,29.2,1,23,2.8,0
1,31.2,29.2,1,24,3.2,1
1,31.2,29.2,1,25,3.2,1
1,31.2,29.2,1,26,3.2,0
1,31.2,29.2,1,27,3.6,1
1,31.2,29.2,1,28,3.6,1
1,31.2,29.2,1,29,3.4,1
1,31.2,29.2,1,30,3.4,1
1,31.2,30.2,1,1,2.6,1
1,31.2,30.2,1,2,2,1
1,31.2,30.2,1,3,1.8,1
1,31.2,30.2,1,4,1.4,1
1,31.2,30.2,1,5,1.2,1
1,31.2,30.2,1,6,1,0
1,31.2,30.2,1,7,1.8,1
1,31.2,30.2,1,8,1.6,1
1,31.2,30.2,1,9,1.4,1
1,31.2,30.2,1,10,1.4,0
1,31.2,30.2,1,11,2,1
1,31.2,30.2,1,12,1.8,1
1,31.2,30.2,1,13,1.8,1
1,31.2,30.2,1,14,1.6,0
1,31.2,30.2,1,15,2,1
1,31.2,30.2,1,16,2,1
1,31.2,30.2,1,17,1.8,1
